openalex_id,title,doi,publication_year,publication_date,type,cited_by_count,is_open_access,primary_location_source,first_author,all_authors,institutions,topics,keywords,abstract_inverted_index,url,paper_id,is_ethical,categories,confidence,reasoning,success,error,api_key_used
https://openalex.org/W1724978910,The Influence of Medication Attitudes on Utilization of Antiretroviral Therapy (ART) in Indonesian Prisons,https://doi.org/10.1007/s10461-015-1198-4,2015,2015-09-23,article,26,True,AIDS and Behavior,Gabriel J. Culbert,Gabriel J. Culbert; Alexander R. Bazazi; Agung Waluyo; Astia Murni; Azalia P. Muchransyah; Mariska Iriyanti; Finnahari; Maxim Polonsky; Judith A. Levy; Frederick L. Altice,Binus University; Chicago Department of Public Health; University of Illinois Chicago; University of Indonesia; University of Malaya; Yale University,"HIV/AIDS Research and Interventions; HIV, Drug Use, Sexual Risk; Adolescent Sexual and Reproductive Health",Social stigma; Stigma,No,https://openalex.org/W1724978910,https://openalex.org/W1724978910,False,,High,"The research paper title and abstract do not indicate any discussion of AI ethics, AI hallucination, or AI bias. The topic appears to be related to public health and medication adherence within a specific population.",True,,7Fr4
https://openalex.org/W2766461890,Toward to operationalization of socio-technical ontology engineering methodology,https://doi.org/10.1109/citsm.2017.8089256,2017,2017-08-01,article,7,False,2018 6th International Conference on Cyber and IT Service Management (CITSM),Dana Indra Sensuse,Dana Indra Sensuse; Yudho Giri Sucahyo; Mesnan Silalahi; Ika Arthalia Wulandari; Izzah Fadhilah Akmaliah; Handrie Noprisson,Mercu Buana University; University of Indonesia,Semantic Web and Ontologies; Business Process Modeling and Analysis; Big Data and Business Intelligence,Ontology engineering; Theme (computing),Yes,https://openalex.org/W2766461890,https://openalex.org/W2766461890,False,,low,"The title and abstract do not provide enough information to determine if the paper discusses AI ethics, AI hallucination, or AI bias. The abstract is too brief and generic to make a confident classification.",True,,4WFQ
https://openalex.org/W4295226656,KESIAPAN IMPLEMENTASI SMART PORT DI INDONESIA,https://doi.org/10.29244/coj.6.1.8-23,2022,2022-04-20,article,1,True,Coastal and Ocean Journal (COJ),Roni Alfiansyah Ritonga,Roni Alfiansyah Ritonga; Nurdin Ahmadi; Tridoyo Kusumastanto; Ruddy Suwandi; Sri Rahardjo Suwito; Sinta Hasriningtyas; Heru Arafat; Agus Mohamad Soleh,Universitas Trisakti; University of Indonesia,Coastal Management and Development; Marine and Coastal Ecosystems; Impulse Buying and Technology Impacts,,Yes,https://openalex.org/W4295226656,https://openalex.org/W4295226656,False,,low,"The provided title and abstract do not contain sufficient information to determine if the research paper discusses AI Ethics, AI Hallucination, or AI Bias. The abstract is too brief and lacks keywords related to these topics. Therefore, it is assumed to be general AI research or application-focused.",True,,07MI
https://openalex.org/W2903534942,Fuzzy Support Vector Machines based on Adaptive Particle Swarm Optimization for Credit Risk Analysis,https://doi.org/10.1088/1742-6596/1108/1/012052,2018,2018-11-01,article,2,True,Journal of Physics Conference Series,M D Murjadi,M D Murjadi; Zuherman Rustam,University of Indonesia,Financial Distress and Bankruptcy Prediction; Advanced Algorithms and Applications; Imbalanced Data Classification Techniques,Binary classification,Yes,https://openalex.org/W2903534942,https://openalex.org/W2903534942,False,,Low,"The paper title and abstract suggest a focus on technical methods (Fuzzy Support Vector Machines, Adaptive Particle Swarm Optimization) for a specific application (Credit Risk Analysis). There is no indication of discussion on AI Ethics, AI Hallucination, or AI Bias. The abstract stating 'Yes' is too vague to infer any ethical considerations without further context.",True,,FM-M
https://openalex.org/W3217287624,The Key Role of the Financial Regulation in FinTech Ecosystem: A Model Validation,https://doi.org/10.25115/eea.v39i12.6239,2021,2021-11-26,article,14,True,Studies of Applied Economics,Mohammad Fahmi Arkanuddin,Mohammad Fahmi Arkanuddin; Ferdinand Dehoutman Saragih; Bernardus Yuliarto Nugroho,University of Indonesia,"FinTech, Crowdfunding, Digital Finance",Fintech; Financial Innovation; Financial Stability,Yes,https://openalex.org/W3217287624,https://openalex.org/W3217287624,False,,High,"The paper title and abstract, though brief, indicate a focus on the role of financial regulation in the FinTech ecosystem and model validation. There is no mention or implication of AI ethics, AI hallucination, or AI bias within the provided information.",True,,YdtI
https://openalex.org/W3202644353,Sistem Otomasi Ekstraksi Radiocessium pada Pengambilan dan Preparasi sampel untuk Menentukan Kualitas Air,https://doi.org/10.21776/ub.jkptb.2021.009.02.03,2021,2021-08-01,article,1,True,Jurnal Keteknikan Pertanian Tropis dan Biosistem,Sabar Sabar,Sabar Sabar; Mohamad Nur Yahya; Zunanik Mufidah; Sastra Kusuma Wijaya; Duwi Hariyanto; Kisna Pertiwi,National Nuclear Energy Agency of Indonesia; Sumatera Institute of Technology; University of Indonesia,Nuclear Physics and Applications; Oil and Gas Production Techniques; Geophysical and Geoelectrical Methods,,Yes,https://openalex.org/W3202644353,https://openalex.org/W3202644353,False,,High,"The provided title and abstract (which is stated as 'Yes' without further detail) do not indicate any discussion of AI ethics, AI hallucination, or AI bias. The topic appears to be related to automated extraction systems for water quality, which is a technical application and does not inherently fall into the specified ethical or problematic AI categories.",True,,uikY
https://openalex.org/W3206329676,"Assessment on the Use of Meteorological and Social Media Information for Forest Fire Detection and Prediction in Riau, Indonesia",https://doi.org/10.3390/su132011188,2021,2021-10-11,article,12,True,Sustainability,Anni Arumsari Fitriany,Anni Arumsari Fitriany; Piotr J. Flatau; Khoirunurrofik Khoirunurrofik; Nelly Florida Riama,"Meteorological, Climatological, And Geophysical Agency; Scripps Institution of Oceanography; University of California, San Diego; University of Indonesia",Public Relations and Crisis Communication,Visibility; Crowdsourcing; Fire Detection; Wildfire suppression,Yes,https://openalex.org/W3206329676,https://openalex.org/W3206329676,False,,low,"The title and abstract suggest a focus on technical aspects of using meteorological and social media data for forest fire detection and prediction. There is no explicit mention or strong implication of AI ethics, hallucination, or bias in the provided information.",True,,4WFQ
https://openalex.org/W2793633122,Proposing water balance method for water availability estimation in Indonesian regional spatial planning,https://doi.org/10.1088/1755-1315/106/1/012073,2018,2018-01-01,article,6,True,IOP Conference Series Earth and Environmental Science,Atie Tri Juniati,Atie Tri Juniati; Dwita Sutjiningsih; H Soeryantono; Eko Kusratmoko,University of Indonesia,Water and Land Management; Flood Risk Assessment and Management; Groundwater and Watershed Analysis,Water balance,Yes,https://openalex.org/W2793633122,https://openalex.org/W2793633122,False,,high,"The research paper's title and abstract indicate a focus on a water balance method for water availability estimation in regional spatial planning. There is no mention or implication of AI ethics, AI hallucination, or AI bias in the provided information. The topic is purely technical and related to environmental resource management.",True,,7Fr4
https://openalex.org/W4318166979,"Pan-Asian adapted ESMO Clinical Practice Guidelines for the diagnosis, treatment and follow-up of patients with endometrial cancer",https://doi.org/10.1016/j.esmoop.2022.100774,2023,2023-01-24,article,20,True,ESMO Open,Smruti Koppikar,Smruti Koppikar; Ana Oaknin; K. Govind Babu; Domenica Lorusso; Sudeep Gupta; Lanxia Wu; Wulyo Rajabto; Kenichi Harano; Hong Shen; Rozita Abdul Malik; Heinrik Martin Jude S. Strebel; Ieera Aggarwal; Chyong‐Huey Lai; Thitiya Dejthevaporn; Siriwan Tangjitgamol; Wen‐Fang Cheng; Wen Yee Chay; Doris R. Benavides; Najihah Mohd Hashim; Yong Wha Moon; Mayu Yunokawa; Tricia Dewi Anggraeni; Wen Wei; Giuseppe Curigliano; Amita Maheshwari; Umesh Mahantshetty; Suma Sheshadri; Solange Peters; Takayuki Yoshino; George Pentheroudakis,Agostino Gemelli University Polyclinic; Bangkok Hospital; Bombay Hospital; CHA University; CHA University Bundang Medical Center; Cancer Hospital and Research Institute; Catholic University of Korea; Chang Gung Memorial Hospital; Chinese Academy of Medical Sciences & Peking Union Medical College; European Institute of Oncology; European Society for Medical Oncology; Homi Bhabha National Institute; Istituti di Ricovero e Cura a Carattere Scientifico; Japanese Foundation For Cancer Research; KK Women's and Children's Hospital; Kidwai Memorial Institute of Oncology; Lilavati Hospital & Research Centre; Mahidol University; National Cancer Center Hospital East; National Cancer Centre Singapore; National Taiwan University Hospital; Navamindradhiraj University; Philippine General Hospital; Ramathibodi Hospital; Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo; Sultan Ismail Specialist Hospital; Sun Yat-sen University; Sun Yat-sen University Cancer Center; Tata Memorial Hospital; The Cancer Institute Hospital; The Catholic University of Korea Seoul St. Mary's Hospital; University of Indonesia; University of Malaya; University of Milan; University of the Sacred Heart; Vajira Hospital; Vall d'Hebron Hospital Universitari; Vall d'Hebron Institute of Oncology,Endometrial and Cervical Cancer Treatments; Colorectal Cancer Surgical Treatments; Ovarian cancer diagnosis and treatment,Guideline; Clinical Practice,Yes,https://openalex.org/W4318166979,https://openalex.org/W4318166979,False,,Low,"The paper title and abstract suggest a focus on medical guidelines for endometrial cancer treatment, not on AI ethics, hallucination, or bias. There is no indication that AI is a primary subject of discussion or that it involves ethical considerations related to AI.",True,,07MI
https://openalex.org/W2887561169,"The adoption of IFRS, comparability of financial statements and foreign investors’ ownership",https://doi.org/10.1108/ara-04-2017-0064,2018,2018-08-06,article,42,False,Asian Review of Accounting,Aria Farah Mita,Aria Farah Mita; Sidharta Utama; Fitriany Fitriany; Etty Retno Wulandari,University of Indonesia,"Auditing, Earnings Management, Governance; Financial Reporting and Valuation Research; Corporate Finance and Governance",Comparability; Financial instrument,Yes,https://openalex.org/W2887561169,https://openalex.org/W2887561169,False,,low,"The provided title and abstract do not contain any keywords or concepts related to AI ethics, AI hallucination, or AI bias. The topic appears to be focused on financial reporting standards (IFRS) and their impact on financial statement comparability and foreign investor ownership.",True,,YdtI
