openalex_id,title,doi,publication_year,publication_date,type,cited_by_count,is_open_access,primary_location_source,first_author,all_authors,institutions,topics,keywords,abstract_inverted_index,url
https://openalex.org/W4286008676,The potential of an artificial intelligence (AI) application for the tax administration system’s modernization: the case of Indonesia,https://doi.org/10.1007/s10506-022-09321-y,2022,2022-07-20,article,72,False,Artificial Intelligence and Law,Arfah Habib Saragih,Arfah Habib Saragih; Qaumy Reyhani; Milla Sepliana Setyowati; Adang Hendrawan,University of Indonesia,Taxation and Compliance Studies; Information Retrieval and Data Mining; Local Governance and Development,Modernization theory; Public economics; Business; Tax reform; Government (linguistics); Economics; Economic growth,No,https://openalex.org/W4286008676
https://openalex.org/W3127050453,Applications of artificial intelligence for hypertension management,https://doi.org/10.1111/jch.14180,2021,2021-02-03,review,74,True,Journal of Clinical Hypertension,Kelvin Tsoi,Kelvin Tsoi; Karen Yiu; Helen Lee; Hao‐Min Cheng; Tzung‐Dau Wang; Jam‐Chin Tay; Boon Wee Teo; Yuda Turana; Arieska Ann Soenarta; Guru Prasad Sogunuru; Saulat Siddique; Yook Chin Chia; Jinho Shin; Chen‐Huan Chen; Ji‐Guang Wang; Kazuomi Kario,Atma Jaya Catholic University of Indonesia; Chinese University of Hong Kong; Hanyang University Medical Center; Jichi Medical University; Madras Institute of Orthopaedics and Traumatology; National Taiwan University Hospital; National Yang Ming Chiao Tung University; Punjab Medical Center; Ruijin Hospital; Shanghai Institute of Hypertension; Sunway University; Taipei Veterans General Hospital; Tan Tock Seng Hospital; University of Indonesia; University of Malaya,Blood Pressure and Hypertension Studies; Hemodynamic Monitoring and Therapy; Non-Invasive Vital Sign Monitoring,Telemedicine; Wearable computer; Medicine; STRIDE; Computer science; Blood pressure; Intensive care medicine; Medical emergency; Physical medicine and rehabilitation; Internal medicine; Health care; Political science,Yes,https://openalex.org/W3127050453
https://openalex.org/W4392641652,A systematic review of artificial intelligence-powered (AI-powered) chatbot intervention for managing chronic illness,https://doi.org/10.1080/07853890.2024.2302980,2024,2024-03-11,review,87,True,Annals of Medicine,Moh Heri Kurniawan,Moh Heri Kurniawan; Hanny Handiyani; Tuti Nuraini; Rr. Tutik Sri Hariyati; Sutrisno Sutrisno,Aisyah University; University of Indonesia,AI in Service Interactions; Digital Mental Health Interventions; Artificial Intelligence in Healthcare and Education,Chatbot; Intervention (counseling); Psychological intervention; Telemedicine; Medicine; Health care; eHealth; Psychology; Computer science; Data science; Artificial intelligence; Nursing,Yes,https://openalex.org/W4392641652
https://openalex.org/W4381149654,Artificial Intelligence in Andrology: From Semen Analysis to Image Diagnostics,https://doi.org/10.5534/wjmh.230050,2023,2023-06-19,review,51,True,The World Journal of Men s Health,Ramy Abou Ghayda,Ramy Abou Ghayda; Rossella Cannarella; Aldo E. Calogero; Rupin Shah; Amarnath Rambhatla; Wael Zohdy; Parviz K. Kavoussi; Tomer Avidor‐Reiss; Florence Boitrelle; Taymour Mostafa; Ramadan Saleh; Tuncay Toprak; Ponco Birowo; Gianmaria Salvio; Gökhan Çalık; Shinnosuke Kuroda; Raneen Sawaid Kaiyal; Imad Ziouziou; Andrea Crafa; Nguyen Ho Vinh Phuoc; Giorgio Ivan Russo; Damayanthi Durairajanayagam; Manaf Al Hashimi; Taha Abo-Almagd Abdel-Meguid Hamoda; Germar‐Michael Pinggera; Ricky Adriansjah; Israel Maldonado Rosas; Mohamed Arafa; Eric Chung; Widi Atmoko; Lucia Rocco; Haocheng Lin; É. Huyghe; Priyank Kothari; Jesus Fernando Solorzano Vazquez; Fotios Dimitriadis; Nicolás Garrido; Sheryl T. Homa; Marco Falcone; Marjan Sabbaghian; Hussein Kandil; Edmund Ko; Marlon Martínez; Quang Nguyen; ‬Ahmed M. Harraz; Ege Can Şerefoğlu; Vilvapathy Senguttuvan Karthikeyan; Dung Mai Ba Tien; Sunil Jindal; S. Mičić; Marina Bellavia; Hamed Alali; Nazim Gherabi; Sheena Lewis; Hyun Jun Park; Mara Simopoulou; Hassan Sallam; Liliana Berenice Ramirez Dominguez; Giovanni M. Colpi; Ashok Agarwal,"Academic Center for Education, Culture and Research; Al-Sabah Hospital; Alexandria University; Apollo Hospitals; Aristotle University of Thessaloniki; Biologie de la Reproduction, Environnement, Epigénétique et Développement; Biruni University; Cairo University; Case Western Reserve University; Cleveland Clinic; Dr. Hasan Sadikin General Hospital; Farwaniya Hospital; Fatih Sultan Mehmet Eğitim Ve Araştırma Hastanesi; Fondazione Ricerca Molinette; Hamad Medical Corporation; Henry Ford Health System; IVI Middle East Fertility Clinic; Information Group on Reproductive Choice; Innsbruck Medical University; Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement; Instituto de Investigación Sanitaria La Fe; Istanbul Medipol University; Khalifa University of Science and Technology; King Abdulaziz University; King Fahad Specialist Hospital; Lilavati Hospital & Research Centre; Loma Linda University; Mansoura University; Marche Polytechnic University; Minia University; National and Kapodistrian University of Athens; Padjadjaran University; Peking University; Peking University Third Hospital; Pham Ngoc Thach University of Medicine; Princess Alexandra Hospital; Pusan National University Hospital; Royan Institute; Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo; Sağlık Bilimleri Üniversitesi; Sohag University; The University of Queensland; The University of Texas Health Science Center at San Antonio; Topiwala National Medical College & BYL Nair Charitable Hospital; Universiti Teknologi MARA; University Hospitals of Cleveland; University of Campania ""Luigi Vanvitelli""; University of Catania; University of Indonesia; University of Kent; University of Santo Tomas Hospital; University of Toledo; University of Turin; Université Fédérale de Toulouse Midi-Pyrénées; Université Ibn Zohr; Université Paris-Saclay; Université de Versailles Saint-Quentin-en-Yvelines; Viet Duc Hospital; Vietnam National University, Hanoi; Weill Cornell Medical College in Qatar; Yokohama City University; Yokohama City University Medical Center",Artificial Intelligence in Healthcare and Education; AI in cancer detection; Autopsy Techniques and Outcomes,Reproductive medicine; Artificial intelligence; Robotics; Precision medicine; Applications of artificial intelligence; Infertility; Reproductive technology; Computer science; Medicine; Biology; Robot; Pathology; Embryo; Cryopreservation,Yes,https://openalex.org/W4381149654
https://openalex.org/W4390077803,AI-powered ensemble machine learning to optimize cost strategies in logistics business,https://doi.org/10.1016/j.jjimei.2023.100209,2023,2023-12-21,article,69,True,International Journal of Information Management Data Insights,Chairote Yaiprasert,Chairote Yaiprasert; Achmad Nizar Hidayanto,University of Indonesia; Walailak University,Urban and Freight Transport Logistics; Traffic Prediction and Management Techniques; Transportation Planning and Optimization,Computer science; Ensemble learning; Originality; Artificial intelligence; Machine learning; Tuple; Business intelligence; Range (aeronautics); Big data; Ensemble forecasting; Operations research; Knowledge management; Data mining; Engineering; Mathematics,Yes,https://openalex.org/W4390077803
https://openalex.org/W3004400205,Managing Artificial Intelligence Technology for Added Value,https://doi.org/10.14716/ijtech.v11i1.3889,2020,2020-01-24,article,26,True,International Journal of Technology,Mohammed Ali Berawi,Mohammed Ali Berawi,University of Indonesia,Big Data and Business Intelligence,Value (mathematics); Computer science; Artificial intelligence; Machine learning,Yes,https://openalex.org/W3004400205
https://openalex.org/W2157896060,AI-2 of Aggregatibacter actinomycetemcomitans inhibits Candida albicans biofilm formation,https://doi.org/10.3389/fcimb.2014.00094,2014,2014-07-21,article,112,True,Frontiers in Cellular and Infection Microbiology,Endang Winiati Bachtiar,Endang Winiati Bachtiar; Boy M. Bachtiar; Lucja M. Jarosz; Lisa Amir; Hari Sunarto; Hadas Ganin; Michaël M. Meijler; Bastiaan P. Krom,Academic Center for Dentistry Amsterdam; Ben-Gurion University of the Negev; University Medical Center Groningen; University of Amsterdam; University of Groningen; University of Indonesia,Antifungal resistance and susceptibility; Oral microbiology and periodontitis research; Bacterial biofilms and quorum sensing,Biofilm; Microbiology; Aggregatibacter actinomycetemcomitans; Candida albicans; Corpus albicans; Quorum sensing; Hypha; Biology; Virulence; Bacteria; Chemistry; Gene; Porphyromonas gingivalis; Biochemistry; Genetics,Yes,https://openalex.org/W2157896060
https://openalex.org/W3007930742,APPLICATION OF E-LEARNING AND ARTIFICIAL INTELLIGENCE IN EDUCATION SYSTEMS IN INDONESIA,https://doi.org/10.33373/as.v10i2.2096,2020,2020-02-14,article,18,True,ANGLO-SAXON Jurnal Ilmiah Program Studi Pendidikan Bahasa Inggris,Dardya Putra Hastungkara,Dardya Putra Hastungkara; Endah Triastuti,University of Indonesia,Technology-Enhanced Education Studies,Information and Communications Technology; The Internet; Computer science; Knowledge management; Information technology; Artificial intelligence; Data science; World Wide Web,Yes,https://openalex.org/W3007930742
https://openalex.org/W4387366593,Exploring the Challenges and Impacts of Artificial Intelligence Implementation in Project Management: A Systematic Literature Review,https://doi.org/10.14569/ijacsa.2023.0140940,2023,2023-01-01,article,28,True,International Journal of Advanced Computer Science and Applications,Muhammad Irfan Hashfi,Muhammad Irfan Hashfi; Teguh Raharjo,University of Indonesia,Artificial Intelligence in Healthcare and Education,Computer science; Process (computing); Project management; Process management; Management science; Systematic review; Project planning; Resource (disambiguation); Knowledge management; Risk analysis (engineering); Systems engineering; Engineering; Business,Yes,https://openalex.org/W4387366593
https://openalex.org/W4376609317,AI-driven ensemble three machine learning to enhance digital marketing strategies in the food delivery business,https://doi.org/10.1016/j.iswa.2023.200235,2023,2023-05-01,article,63,True,Intelligent Systems with Applications,Chairote Yaiprasert,Chairote Yaiprasert; Achmad Nizar Hidayanto,University of Indonesia; Walailak University,Consumer Retail Behavior Studies; Digital Marketing and Social Media; Consumer Behavior in Brand Consumption and Identification,Computer science; Decision tree; Machine learning; Naive Bayes classifier; Artificial intelligence; Random forest; Identification (biology); Ensemble learning; k-nearest neighbors algorithm; Process (computing); Data mining; Support vector machine,Yes,https://openalex.org/W4376609317
https://openalex.org/W4385278908,Applied artificial intelligence: Acceptance-intention-purchase and satisfaction on smartwatch usage in a Ghanaian context,https://doi.org/10.1016/j.heliyon.2023.e18666,2023,2023-07-25,article,20,True,Heliyon,Md Uzir Hossain Uzir,Md Uzir Hossain Uzir; Zakari Bukari; Hussam Al Halbusi; Rodney Lim; Siti Norida Wahab; Tareq Rasul; T. Ramayah; Ishraq Jerin; M Rezaul Karim Chowdhury; Arun Kumar Tarofder; Azizul Yadi Yaakop; Abu Bakar Abdul Hamid; Ahasanul Haque; Abdur Rauf; Bilal Eneizan,Ahmed Bin Mohammed Military College; Australian Institute of Business; Chandigarh University; Daffodil International University; Infrastructure University Kuala Lumpur; International Islamic University Malaysia; Jadara University; Lamar University; Lincoln University College; Management and Science University; National University of Malaysia; Sunway University; Swinburne University of Technology; Universiti Malaysia Terengganu; Universiti Putra Malaysia; Universiti Sains Malaysia; Universiti Teknologi MARA; University of Indonesia; University of Professional Studies; University of Technology Malaysia,Digital Marketing and Social Media; Technology Adoption and User Behaviour; AI in Service Interactions,Smartwatch; Usability; Credibility; Context (archaeology); Psychology; Technology acceptance model; Applied psychology; Computer science; Wearable computer; Human–computer interaction,Yes,https://openalex.org/W4385278908
https://openalex.org/W3010795554,Artificial Intelligence Disruption on Public Relations Practice: What do Practitioners Think About it,https://doi.org/10.4108/eai.12-11-2019.2293527,2020,2020-01-01,article,14,True,,Doan Ilman Munandar,Doan Ilman Munandar; Irwansyah Irwansyah,University of Indonesia,Mental Health and Well-being; Islamic Finance and Communication,Industrial Revolution; Public relations; Political science; Knowledge management; Engineering ethics; Computer science; Sociology; Engineering; Artificial intelligence; Law,Yes,https://openalex.org/W3010795554
https://openalex.org/W4367556344,Artificial Intelligence (AI) in Nursing Services: A Literature Review,https://doi.org/10.33746/fhj.v10i01.556,2023,2023-04-11,review,5,True,Faletehan Health Journal,Moh Heri Kurniawan,Moh Heri Kurniawan; Hanny Handiyani; Tuti Nuraini; Rr. Tutik Sri Hariyati,University of Indonesia,Artificial Intelligence in Healthcare and Education,Scopus; Nursing; Observational study; Nursing research; Quality (philosophy); Inclusion (mineral); Nursing care; Inclusion and exclusion criteria; Health care; Nursing Outcomes Classification; Computer science; Psychology; Artificial intelligence; MEDLINE; Medicine; Alternative medicine; Team nursing; Political science; Pathology,Yes,https://openalex.org/W4367556344
https://openalex.org/W3034257335,Fog prediction using artificial intelligence: A case study in Wamena Airport,https://doi.org/10.1088/1742-6596/1528/1/012021,2020,2020-04-01,article,17,True,Journal of Physics Conference Series,Ristiana Dewi,Ristiana Dewi; Prawito Prawito; Hastuadi Harsa,"Meteorological, Climatological, And Geophysical Agency; University of Indonesia",Air Traffic Management and Optimization; Meteorological Phenomena and Simulations; Air Quality Monitoring and Forecasting,Visibility; Meteorology; Dew point; Environmental science; Wind speed; Random forest; Haze; Gradient boosting; Atmospheric model; Computer science; Cloud cover; Surface weather observation; Weather forecasting; Cloud computing; Machine learning; Geography,Yes,https://openalex.org/W3034257335
